path	bucket	pin_hash	fork_hash
app/src/ai/agent/api/convert_conversation.rs	DIFFERS	fdebf73fa2451ee1a663587bf22f846c9f93dea5	541415373df854ef6e5a66db00f4379e395d57f3
app/src/ai/agent/api/convert_conversation_tests.rs	DIFFERS	3c048e417cc22a24fb29042757de7e087c1453a0	70144374ab0832ce48be09da6de961768fae0bcd
app/src/ai/agent/api/convert_from.rs	DIFFERS	1d42d378f313f40ed70bc3989f6a0accb508b60d	e85fed6e283d305ed48a51a20ed75b8d87247d38
app/src/ai/agent/api/convert_from_tests.rs	DIFFERS	7b3ad65a39d3f41469d27277e005ced28293e125	73523a924fe451fabb1774feea34166bd56bed4b
app/src/ai/agent/api/convert_to.rs	DIFFERS	d072a7906b532f61cd2d14debfa94ffa4bc54bdc	dd8ca71f61a5b34a86ba4b64b4f6344a3f2ababc
app/src/ai/agent/api/convert_to_tests.rs	DIFFERS	be6c3143915ed731dd3bb01a1bd4f405e349350c	31f57385c4bdb655643412b3e83651c7a3306e4a
app/src/ai/agent/api.rs	DIFFERS	52a8c138db05c13e145619e436a695c4e77bf79b	5415db734132074ff345fd00c132e0f962f80c0b
app/src/ai/agent/api_tests.rs	DIFFERS	ae9563480544832ad6bd3ea6bd2ba3ccbbd329b0	8a058c4f7e05532a6559d73c4fb856629f8f6d4d
app/src/ai/agent/comment.rs	DIFFERS	9147cc5f698863904cd6993c1cd5df8ddb4acb43	dfccbab2bfefedb8c7edd140b385e926d82d436c
app/src/ai/agent/conversation.rs	DIFFERS	f98a9bf41a993523ebb0c419f0313bbd0b05dd15	4b5b2f7a0b8e26b7e8ba863106807b75131fa5ea
app/src/ai/agent_conversations_model.rs	DIFFERS	2383207e0e79d636725dd2639ebec2707fd402af	88c4263f3839ab8a828e8c0113104c07840021d7
app/src/ai/agent_conversations_model_tests.rs	DIFFERS	ff77d40c01d629d45b33a0ce8ecaba5137687ede	c0496eff2723ddbe57709f6a9b6130228511623f
app/src/ai/agent/conversation_tests.rs	DIFFERS	b4a44ade227d27608f7c3e8ce14f5c832ffe631e	e9f396a70f01dc4d2969147c0a25620498cf6a50
app/src/ai/agent/conversation_yaml.rs	DIFFERS	c3583d8515566719b7e15130f88e454685f4c2ce	1f85a11bdc262844063d03689eb5b80dde5c4b28
app/src/ai/agent/conversation_yaml_tests.rs	DIFFERS	7179a9f0e614aae90ffbc0f0aad4e348ace39ce5	e7f0060aa627388b18446d67b9b7f2b8be0c23ed
app/src/ai/agent_events/driver.rs	DIFFERS	f34a4d104b13110bdb55586f357987891602b0c3	70c981bf1f284e17d23417d353f9f1df118d065c
app/src/ai/agent_events/driver_tests.rs	DIFFERS	81de0484346bad17b7f19dd7739f56425a78f8d4	32bee1a2bd4f1f8b03a50522df04624a4b069770
app/src/ai/agent_events/message_hydrator.rs	DIFFERS	9c7643af3619395417b55ad52f17b9f46829bad6	de400ec67f12aeeb60176f380112129ad7decd3c
app/src/ai/agent_events/message_hydrator_tests.rs	DIFFERS	6704cd09f37f003aaf2d7b4b8b27fcfd3e760ac2	0703bda961f34d15502d5ba2265ac5d7f0d2b03e
app/src/ai/agent_events/mod.rs	DIFFERS	62deb9e2c1f4cd590ef007b29cd9e83ce363b9ca	276fdf64b5a14a8c59af64c1d9cb786cea7902b5
app/src/ai/agent/icons.rs	DIFFERS	072349222f018806d9112716e549d29fc14c2d87	93b79cd5d8f226ff4e178296163035b5352b03f0
app/src/ai/agent/linearization.rs	DIFFERS	9c64ae355f336bd0fe6317cd0433f92fb1b6859e	bc86ff8a1ce66f1eb5108970a21f9cf7001fce76
app/src/ai/agent/linearization_tests.rs	DIFFERS	f988350644a3b2e917907e5a34ec678f70496f6e	2d7db11396680403f4259ef8e178d6b9ee18371e
app/src/ai/agent/mod.rs	DIFFERS	fd2e84d34e4d951ac8406ad7c52dcdca9d2cf54a	8b94a04748361de0cb5865b682bc71b7dc3da442
app/src/ai/agent/mod_test.rs	FORK-ONLY	-	f54587642db04b1f927b91ae6e8c1edf556445be
app/src/ai/agent_providers/active_ai/mod.rs	FORK-ONLY	-	7300c1b96e67e3dc1c7298d02620e46194ab6571
app/src/ai/agent_providers/active_ai/parsing.rs	FORK-ONLY	-	80d985f8f5c72ca9696f267117ef659530ea512a
app/src/ai/agent_providers/attachment_caps.rs	FORK-ONLY	-	8362181660ba4815a2cabab5aff5f964094612c8
app/src/ai/agent_providers/cache_stability_tests.rs	FORK-ONLY	-	211d54c14324f81db67dd4a8131788a492d9c8d6
app/src/ai/agent_providers/chat_stream.rs	FORK-ONLY	-	692ffda4d42a3e24a3f8ed17b26388672671652b
app/src/ai/agent_providers/content_tool_calls.rs	FORK-ONLY	-	8953116ddb6f0e0e7754f0937e8a93c13fb8ede6
app/src/ai/agent_providers/content_tool_calls_tests.rs	FORK-ONLY	-	93e98704231fb59a706e49721c5aa8dc83fbd5ca
app/src/ai/agent_providers/embeddings.rs	FORK-ONLY	-	19bff8c656250088caeff3ede9c669ea1c4f8f34
app/src/ai/agent_providers/embeddings_tests.rs	FORK-ONLY	-	7838140951f906a0897c74ef334b8570e0975d82
app/src/ai/agent_providers/llm_id.rs	FORK-ONLY	-	4a2bce8254fe4a6ac79901c6c83d3b72bd64189b
app/src/ai/agent_providers/models_dev.rs	FORK-ONLY	-	d3e8970484efe3aced0032cc331deb4b65f01613
app/src/ai/agent_providers/mod.rs	FORK-ONLY	-	e50b57942f6628fb43ad5b0698322b75732f7e7b
app/src/ai/agent_providers/mod_test.rs	FORK-ONLY	-	3e99227194813f83a757a3d7c5afbe90a65d3617
app/src/ai/agent_providers/oneshot.rs	FORK-ONLY	-	935996b19909e24aa13b949fd7c2c2eea8c7f9e1
app/src/ai/agent_providers/openai_compatible.rs	FORK-ONLY	-	c0b9a3f3d96c79a22b846517b9ddca6ded17205f
app/src/ai/agent_providers/prompt_renderer.rs	FORK-ONLY	-	dcc557018daef330f34c02e9e74efcee033359f7
app/src/ai/agent_providers/reasoning.rs	FORK-ONLY	-	51a3e1d82f5a05d5430dd34b75f41c520dc3db5c
app/src/ai/agent_providers/secrets.rs	FORK-ONLY	-	27de55eb82f69aa7e8f0082cfbb7d6b09fe79304
app/src/ai/agent_providers/secrets_tests.rs	FORK-ONLY	-	84d03ee121dec2fb58d710b1889f70b5641d0d68
app/src/ai/agent_providers/tools/ask.rs	FORK-ONLY	-	1ada4afb4f2912023ed37139751314b6d20a51c5
app/src/ai/agent_providers/tools/ask_tests.rs	FORK-ONLY	-	5422d5c3a443c5536399eebbeec0b0dd08408106
app/src/ai/agent_providers/tools/codebase.rs	FORK-ONLY	-	0f1cce89dfd38ca13efab1adb8f380acd2cbc162
app/src/ai/agent_providers/tools/codebase_runtime.rs	FORK-ONLY	-	3ce07f88ab53dd57969effac973a61a259a60a25
app/src/ai/agent_providers/tools/codebase_runtime_tests.rs	FORK-ONLY	-	602e393dc53a66a6df4fc36abd95ee8700ebbaba
app/src/ai/agent_providers/tools/codebase_tests.rs	FORK-ONLY	-	1c1efe9ef891bdf9dadac965530533180324fc01
app/src/ai/agent_providers/tools/coerce.rs	FORK-ONLY	-	395ad84cb59a80a7378f2941714f7932c76024f5
app/src/ai/agent_providers/tools/computer.rs	FORK-ONLY	-	f0e164df7fc0e9b656964682b968be039c4b99f5
app/src/ai/agent_providers/tools/computer_tests.rs	FORK-ONLY	-	52e2be69dbaf0c4b1d032b52d509bab040e66e17
app/src/ai/agent_providers/tools/documents.rs	FORK-ONLY	-	606e8f956d98fc4c7c7cd0c990816de9bda3636e
app/src/ai/agent_providers/tools/documents_tests.rs	FORK-ONLY	-	6c4ca5110a3a7b9c88bd783dafa37d5068a359cc
app/src/ai/agent_providers/tools/edit.rs	FORK-ONLY	-	5c038d8efe71531fe4e18735d44f1f62dd46ef2f
app/src/ai/agent_providers/tools/edit_tests.rs	FORK-ONLY	-	a4c74770a470186b995378a6ca25ecf494124154
app/src/ai/agent_providers/tools/exa.rs	FORK-ONLY	-	1ae40f2f4abfadeab286e49fce5e5a0eaf32082a
app/src/ai/agent_providers/tools/exa_tests.rs	FORK-ONLY	-	0526d525c6e396c8f018bc45bbeee4301ac1b858
app/src/ai/agent_providers/tools/files.rs	FORK-ONLY	-	62de3f37c436b1b031a818493aedee1894dee847
app/src/ai/agent_providers/tools/get_relevant_files.rs	FORK-ONLY	-	ddedb90a43104e39f03036ed570690d7b1acecfa
app/src/ai/agent_providers/tools/get_relevant_files_runtime.rs	FORK-ONLY	-	c5db73e83c2029b3f76025e491ee540b0d061916
app/src/ai/agent_providers/tools/get_relevant_files_runtime_tests.rs	FORK-ONLY	-	6c69c9986402c1f8fca4b8a4f6b568dab4307f8d
app/src/ai/agent_providers/tools/get_relevant_files_tests.rs	FORK-ONLY	-	ad8f1c85801d7c03b71e2501cc9437c3b6bf52f3
app/src/ai/agent_providers/tools/long_shell.rs	FORK-ONLY	-	bb52cf103b121c35f882542febc8bf084b3e16f8
app/src/ai/agent_providers/tools/markers.rs	FORK-ONLY	-	3afe2fa91407226ff07cfc792f598c17f58ffa13
app/src/ai/agent_providers/tools/mcp.rs	FORK-ONLY	-	ab967399e22580fa74fe5ed98604fdf38884b69b
app/src/ai/agent_providers/tools/mcp_tests.rs	FORK-ONLY	-	948f7b88b399af226b83475fb070d723b48153bb
app/src/ai/agent_providers/tools/mod.rs	FORK-ONLY	-	be840f536fada5e3212a36e316069a221e6d95dd
app/src/ai/agent_providers/tools/search.rs	FORK-ONLY	-	8e6950e035627953a014449f0ab291acc313e1cc
app/src/ai/agent_providers/tools/shell.rs	FORK-ONLY	-	aa0b9d9847dba58510104a24647d874d44ad0d12
app/src/ai/agent_providers/tools/skill.rs	FORK-ONLY	-	26d689a0f455d53c27e71e9b312de40988724c84
app/src/ai/agent_providers/tools/suggest.rs	FORK-ONLY	-	2b8eb2d6c32c2dc2798cf2bfdfcdf5f424aced7d
app/src/ai/agent_providers/tools/todowrite.rs	FORK-ONLY	-	675e50dc8dd5d6029a61e546896f5eaf4a637b37
app/src/ai/agent_providers/tools/webfetch.rs	FORK-ONLY	-	a70057c5e4429b1be154fe91f93d933635272605
app/src/ai/agent_providers/tools/webfetch_tests.rs	FORK-ONLY	-	0db8a8991e558a84f0e812aa76780e47e88e468b
app/src/ai/agent_providers/tools/web_runtime.rs	FORK-ONLY	-	f5b3689dbac5b09c3c935772a2a965de03c5702f
app/src/ai/agent_providers/tools/websearch.rs	FORK-ONLY	-	dc0402c82def97a0f073fe458f5bfc7dc9a02508
app/src/ai/agent_providers/tools/websearch_tests.rs	FORK-ONLY	-	a0532b32494423aa23bb861ad51e35d2420d43ec
app/src/ai/agent_providers/user_context.rs	FORK-ONLY	-	c5c7710640654095fdb004be313ed88591bb8cfd
app/src/ai/agent_providers/user_context_tests.rs	FORK-ONLY	-	f9c5614a597d7b2e4d51941c58228cf566bd86cf
app/src/ai/agent_providers/vertex_auth.rs	FORK-ONLY	-	1c744edcf88d4ecf1c3cb487b28c6a6b2e6e9717
app/src/ai/agent_providers/wire_inspector.rs	FORK-ONLY	-	d7a44197aa75783d5a2aa678aa712bec5b27e811
app/src/ai/agent_providers/wire_log.rs	FORK-ONLY	-	c2a9b48235f34b9a5fe0dbdaad76badf04fecb2e
app/src/ai/agent/redaction.rs	DIFFERS	d1fc2ba832bd73f770ac0a9f52fa7cc319f96213	07ea35409502ee1092a5bc5ab4e2365bd3c1cd96
app/src/ai/agent/redaction_tests.rs	FORK-ONLY	-	0e4eee856d806390bd86a1a0bc2cb88e43b5bab5
app/src/ai/agent_sdk/admin.rs	DIFFERS	4152e5beab10d000314c66f32f304232ddb2046d	93b3df15bda21eb89dcebf54d718e4526f6a2836
